ROHC/CO,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5
0.0,"0.0, 1.4, 25.7","0.0, 1.5, 22.9","0.0, 1.6, 23.6","0.0, 1.7, 25.6","0.0, 1.8, 27.9","0.0, 1.9, 30.0","0.0, 2, 31.9","0.0, 2.1, 33.7","0.0, 2.2, 35.2","0.0, 2.3, 36.6","0.0, 2.4, 37.8","0.0, 2.5, 39.0","0.0, 2.6, 40.1","0.0, 2.7, 41.3","0.0, 2.8, #VALUE!","0.0, 2.9, 43.5","0.0, 3, #VALUE!","0.0, 3.1, 45.5","0.0, 3.2, nan","0.0, 3.3, nan","0.0, 3.4, nan","0.0, 3.5, nan"
-0.1,"-0.1, 1.4, 27.1","-0.1, 1.5, 23.9","-0.1, 1.6, 24.1","-0.1, 1.7, 24.9","-0.1, 1.8, 27.4","-0.1, 1.9, 29.2","-0.1, 2, 30.7","-0.1, 2.1, 32.2","-0.1, 2.2, 33.5","-0.1, 2.3, 34.6","-0.1, 2.4, 39.2","-0.1, 2.5, 36.7","-0.1, 2.6, 37.7","-0.1, 2.7, 815208.0","-0.1, 2.8, 815208.0","-0.1, 2.9, 815208.0","-0.1, 3, 815208.0","-0.1, 3.1, 815208.0","-0.1, 3.2, nan","-0.1, 3.3, nan","-0.1, 3.4, nan","-0.1, 3.5, nan"
-0.2,"-0.2, 1.4, 27.8","-0.2, 1.5, 24.2","-0.2, 1.6, 24.0","-0.2, 1.7, 25.6","-0.2, 1.8, 26.4","-0.2, 1.9, 27.8","-0.2, 2, 29.1","-0.2, 2.1, 30.2","-0.2, 2.2, 31.3","-0.2, 2.3, 32.2","-0.2, 2.4, 39.8","-0.2, 2.5, 34.0","-0.2, 2.6, 34.9","-0.2, 2.7, 815208.0","-0.2, 2.8, 815208.0","-0.2, 2.9, 815208.0","-0.2, 3, 815208.0","-0.2, 3.1, 815208.0","-0.2, 3.2, nan","-0.2, 3.3, nan","-0.2, 3.4, nan","-0.2, 3.5, nan"
-0.3,"-0.3, 1.4, 28.0","-0.3, 1.5, 24.0","-0.3, 1.6, 23.4","-0.3, 1.7, 24.1","-0.3, 1.8, 25.1","-0.3, 1.9, 26.2","-0.3, 2, 27.2","-0.3, 2.1, 28.1","-0.3, 2.2, 28.9","-0.3, 2.3, 29.7","-0.3, 2.4, d","-0.3, 2.5, 31.1","-0.3, 2.6, 31.9","-0.3, 2.7, 815208.0","-0.3, 2.8, 815208.0","-0.3, 2.9, 815208.0","-0.3, 3, 815208.0","-0.3, 3.1, 815208.0","-0.3, 3.2, nan","-0.3, 3.3, nan","-0.3, 3.4, nan","-0.3, 3.5, nan"
-0.4,"-0.4, 1.4, 27.8","-0.4, 1.5, 23.6","-0.4, 1.6, 22.6","-0.4, 1.7, 23.0","-0.4, 1.8, 23.8","-0.4, 1.9, 24.5","-0.4, 2, 25.3","-0.4, 2.1, 26.0","-0.4, 2.2, 26.6","-0.4, 2.3, 27.2","-0.4, 2.4, 38.8","-0.4, 2.5, 28.4","-0.4, 2.6, 29.1","-0.4, 2.7, 815208.0","-0.4, 2.8, 815208.0","-0.4, 2.9, 815208.0","-0.4, 3, 815208.0","-0.4, 3.1, 815208.0","-0.4, 3.2, nan","-0.4, 3.3, nan","-0.4, 3.4, nan","-0.4, 3.5, nan"
-0.5,"-0.5, 1.4, 27.5","-0.5, 1.5, 23.0","-0.5, 1.6, 21.9","-0.5, 1.7, 22.0","-0.5, 1.8, 22.5","-0.5, 1.9, 23.0","-0.5, 2, 23.5","-0.5, 2.1, 24.1","-0.5, 2.2, 24.5","-0.5, 2.3, 24.9","-0.5, 2.4, 37.9","-0.5, 2.5, 25.9","-0.5, 2.6, 26.5","-0.5, 2.7, 815208.0","-0.5, 2.8, 815208.0","-0.5, 2.9, 815208.0","-0.5, 3, 815208.0","-0.5, 3.1, 815208.0","-0.5, 3.2, nan","-0.5, 3.3, nan","-0.5, 3.4, nan","-0.5, 3.5, nan"
-0.6,"-0.6, 1.4, 27.1","-0.6, 1.5, 22.5","-0.6, 1.6, 21.1","-0.6, 1.7, 21.0","-0.6, 1.8, 21.3","-0.6, 1.9, 21.7","-0.6, 2, 22.1","-0.6, 2.1, 22.4","-0.6, 2.2, 22.7","-0.6, 2.3, 23.0","-0.6, 2.4, 37.2","-0.6, 2.5, 23.7","-0.6, 2.6, 24.2","-0.6, 2.7, 815208.0","-0.6, 2.8, 815208.0","-0.6, 2.9, 815208.0","-0.6, 3, 815208.0","-0.6, 3.1, 815208.0","-0.6, 3.2, nan","-0.6, 3.3, nan","-0.6, 3.4, nan","-0.6, 3.5, nan"
-0.7,"-0.7, 1.4, 26.8","-0.7, 1.5, 22.1","-0.7, 1.6, 20.6","-0.7, 1.7, 20.3","-0.7, 1.8, 20.4","-0.7, 1.9, 20.7","-0.7, 2, 20.9","-0.7, 2.1, 21.1","-0.7, 2.2, 21.3","-0.7, 2.3, 21.4","-0.7, 2.4, 36.2","-0.7, 2.5, 21.9","-0.7, 2.6, 22.4","-0.7, 2.7, 815208.0","-0.7, 2.8, 815208.0","-0.7, 2.9, 815208.0","-0.7, 3, 815208.0","-0.7, 3.1, 815208.0","-0.7, 3.2, nan","-0.7, 3.3, nan","-0.7, 3.4, nan","-0.7, 3.5, nan"
-0.8,"-0.8, 1.4, 26.6","-0.8, 1.5, 21.8","-0.8, 1.6, 20.2","-0.8, 1.7, 19.8","-0.8, 1.8, 19.8","-0.8, 1.9, 19.9","-0.8, 2, 20.0","-0.8, 2.1, 20.1","-0.8, 2.2, 20.2","-0.8, 2.3, 20.2","-0.8, 2.4, 35.2","-0.8, 2.5, 20.5","-0.8, 2.6, 20.9","-0.8, 2.7, 815208.0","-0.8, 2.8, 815208.0","-0.8, 2.9, 815208.0","-0.8, 3, 815208.0","-0.8, 3.1, 815208.0","-0.8, 3.2, nan","-0.8, 3.3, nan","-0.8, 3.4, nan","-0.8, 3.5, nan"
-0.9,"-0.9, 1.4, 26.6","-0.9, 1.5, 21.8","-0.9, 1.6, 20.1","-0.9, 1.7, 19.6","-0.9, 1.8, 19.5","-0.9, 1.9, 19.5","-0.9, 2, 19.5","-0.9, 2.1, 19.5","-0.9, 2.2, 19.4","-0.9, 2.3, 19.3","-0.9, 2.4, 34.2","-0.9, 2.5, 19.5","-0.9, 2.6, 19.9","-0.9, 2.7, 815208.0","-0.9, 2.8, 815208.0","-0.9, 2.9, 815208.0","-0.9, 3, 815208.0","-0.9, 3.1, 815208.0","-0.9, 3.2, nan","-0.9, 3.3, nan","-0.9, 3.4, nan","-0.9, 3.5, nan"
